"","spc.season","Harbour","meanQuantitycopies","LOD","LOQ","eDNA_eval_mean","eDNA_col_eval_mean","spc","season","Genus","species","dk_comnm","Harbour.Saeson.EuroFinsExtrSmpleno","Coll_date","volfilt_mL","declat","declon","EuroFinsampleno","gen_specnm.Wellname.season.no1","freq_NoCt","freq_belowLOD","freq_AbLOD_BeLOQ","freq_aboveLOQ","freq_repl_eval","eDNA_eval_p_repl_col","eDNA_eval_p_repl_descr","AssayIDcode","AssayIDNo","spc.Harbour","conv_rec_val","col.f.conv_rec_val","valid_comb_score","valid_hexcol","valid_score","categ_valid","copies_per_mLwater","copies_per_Lwater","copies_per_Lwater_plone","log.10_copies_L","no_for_log.10_eDNAlvls","col_log.10_eDNAlvls","col.f.green.hexcol.ab.LOQ","eDNA_eval_t_repl_col"
"401","Acipenser_baerii.efteraar","Kalundborg",0,500,5000,"NoCt","white","Acipenser_baerii","efteraar","Acipenser","baerii","siberiskstoer","Kalundborg.efteraar.1","2017.sep.22",1000,55.6773,11.073,"smpl11","Acipenser_baerii.smpl11.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Kalundborg",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"441","Acipenser_baerii.efteraar","KalundborgStatiolHavn",0,500,5000,"NoCt","white","Acipenser_baerii","efteraar","Acipenser","baerii","siberiskstoer","KalundborgStatiolHavn.efteraar.1","2017.sep.22",1000,55.6643,11.0736,"smpl15","Acipenser_baerii.smpl15.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.KalundborgStatiolHavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"481","Acipenser_baerii.efteraar","Koebenhavn",0,500,5000,"NoCt","white","Acipenser_baerii","efteraar","Acipenser","baerii","siberiskstoer","Koebenhavn.efteraar.1","2017.sep.12",1650,55.6652,12.5702,"smpl12","Acipenser_baerii.smpl12.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Koebenhavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"521","Acipenser_baerii.efteraar","Koege",0,500,5000,"NoCt","white","Acipenser_baerii","efteraar","Acipenser","baerii","siberiskstoer","Koege.efteraar.1","2017.sep.12",450,55.4566,12.204,"smpl16","Acipenser_baerii.smpl16.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Koege",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"561","Acipenser_baerii.efteraar","Odense",0,500,5000,"NoCt","white","Acipenser_baerii","efteraar","Acipenser","baerii","siberiskstoer","Odense.efteraar.1","2017.sep.15",800,55.4101,10.378,"smpl13","Acipenser_baerii.smpl13.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Odense",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"601","Acipenser_baerii.efteraar","Roedby",0,500,5000,"NoCt","white","Acipenser_baerii","efteraar","Acipenser","baerii","siberiskstoer","Roedby.efteraar.1","2017.sep.23",200,54.6541,11.3461,"smpl14","Acipenser_baerii.smpl14.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Roedby",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"2","Acipenser_baerii.foraar","AalborgHavn",0,5000,50000,"NoCt","white","Acipenser_baerii","foraar","Acipenser","baerii","siberiskstoer","AalborgHavn.foraar.1","2017.jun.29",1000,57.0514,9.9319,"smpl04","Acipenser_baerii.smpl04.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.AalborgHavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"42","Acipenser_baerii.foraar","Aalborgportland",0,5000,50000,"NoCt","white","Acipenser_baerii","foraar","Acipenser","baerii","siberiskstoer","Aalborgportland.foraar.1","2017.jun.30",1000,57.0514,9.9319,"smpl03","Acipenser_baerii.smpl03.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Aalborgportland",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"82","Acipenser_baerii.foraar","Aarhus",0,5000,50000,"NoCt","white","Acipenser_baerii","foraar","Acipenser","baerii","siberiskstoer","Aarhus.foraar.1","2017.jul.05",2400,56.1597,10.2301,"smpl02","Acipenser_baerii.smpl02.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Aarhus",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"122","Acipenser_baerii.foraar","Esbjerg",0,5000,50000,"NoCt","white","Acipenser_baerii","foraar","Acipenser","baerii","siberiskstoer","Esbjerg.foraar.1","2017.jun.27",1000,55.4578,8.442,"smpl01","Acipenser_baerii.smpl01.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Esbjerg",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"162","Acipenser_baerii.foraar","Fredericia",0,5000,50000,"NoCt","white","Acipenser_baerii","foraar","Acipenser","baerii","siberiskstoer","Fredericia.foraar.1","2017.jul.05",1600,55.5579,9.7489,"smpl05","Acipenser_baerii.smpl05.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Fredericia",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"202","Acipenser_baerii.foraar","Frederikshavn",0,5000,50000,"NoCt","white","Acipenser_baerii","foraar","Acipenser","baerii","siberiskstoer","Frederikshavn.foraar.1","2017.jun.28",1000,57.4421,10.5622,"smpl06","Acipenser_baerii.smpl06.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Frederikshavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"242","Acipenser_baerii.foraar","Gedser",0,5000,50000,"NoCt","white","Acipenser_baerii","foraar","Acipenser","baerii","siberiskstoer","Gedser.foraar.1","2017.jul.04",700,54.5719,11.9277,"smpl07","Acipenser_baerii.smpl07.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Gedser",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"282","Acipenser_baerii.foraar","Grenaa",0,5000,50000,"NoCt","white","Acipenser_baerii","foraar","Acipenser","baerii","siberiskstoer","Grenaa.foraar.1","2017.jul.05",1100,56.4126,10.9332,"smpl08","Acipenser_baerii.smpl08.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Grenaa",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"322","Acipenser_baerii.foraar","Helsingoer",0,5000,50000,"NoCt","white","Acipenser_baerii","foraar","Acipenser","baerii","siberiskstoer","Helsingoer.foraar.1","2017.jul.11",1000,56.0357,12.6176,"smpl09","Acipenser_baerii.smpl09.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Helsingoer",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"362","Acipenser_baerii.foraar","Hirtshals",0,5000,50000,"NoCt","white","Acipenser_baerii","foraar","Acipenser","baerii","siberiskstoer","Hirtshals.foraar.1","2017.jun.28",1000,57.5975,9.9772,"smpl10","Acipenser_baerii.smpl10.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Hirtshals",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"402","Acipenser_baerii.foraar","Kalundborg",0,5000,50000,"NoCt","white","Acipenser_baerii","foraar","Acipenser","baerii","siberiskstoer","Kalundborg.foraar.1","2017.jul.03",1500,55.6773,11.073,"smpl11","Acipenser_baerii.smpl11.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Kalundborg",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"442","Acipenser_baerii.foraar","KalundborgStatiolHavn",0,5000,50000,"NoCt","white","Acipenser_baerii","foraar","Acipenser","baerii","siberiskstoer","KalundborgStatiolHavn.foraar.1","2017.jul.02",1500,55.6643,11.0736,"smpl15","Acipenser_baerii.smpl15.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.KalundborgStatiolHavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"482","Acipenser_baerii.foraar","Koebenhavn",0,5000,50000,"NoCt","white","Acipenser_baerii","foraar","Acipenser","baerii","siberiskstoer","Koebenhavn.foraar.1","2017.jun.09",1800,55.6652,12.5702,"smpl12","Acipenser_baerii.smpl12.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Koebenhavn",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"522","Acipenser_baerii.foraar","Koege",0,5000,50000,"NoCt","white","Acipenser_baerii","foraar","Acipenser","baerii","siberiskstoer","Koege.foraar.1","2017.jul.04",850,55.4566,12.204,"smpl16","Acipenser_baerii.smpl16.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Koege",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"562","Acipenser_baerii.foraar","Odense",0,5000,50000,"NoCt","white","Acipenser_baerii","foraar","Acipenser","baerii","siberiskstoer","Odense.foraar.1","2017.jul.19",800,55.4101,10.378,"smpl13","Acipenser_baerii.smpl13.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Odense",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"602","Acipenser_baerii.foraar","Roedby",0,5000,50000,"NoCt","white","Acipenser_baerii","foraar","Acipenser","baerii","siberiskstoer","Roedby.foraar.1","2017.jul.04",500,54.6541,11.3461,"smpl14","Acipenser_baerii.smpl14.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID23","23","Acipenser_baerii.Roedby",0,"white","1_and_0","#92D050",1,"NoCt_NF",0,0,1,0,1,0,"0","white"
"3","Bonnemaisonia_hamifera.efteraar","AalborgHavn",0,5,5,"NoCt","white","Bonnemaisonia_hamifera","efteraar","Bonnemaisonia","hamifera","roedtotalge","AalborgHavn.efteraar.1","2017.oct.11",1000,57.0514,9.9319,"smpl04","Bonnemaisonia_hamifera.smpl04.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID01","01","Bonnemaisonia_hamifera.AalborgHavn",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"43","Bonnemaisonia_hamifera.efteraar","Aalborgportland",0,5,5,"NoCt","white","Bonnemaisonia_hamifera","efteraar","Bonnemaisonia","hamifera","roedtotalge","Aalborgportland.efteraar.1","2017.oct.11",2500,57.0514,9.9319,"smpl03","Bonnemaisonia_hamifera.smpl03.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID01","01","Bonnemaisonia_hamifera.Aalborgportland",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"83","Bonnemaisonia_hamifera.efteraar","Aarhus",13.1266666666667,5,5,"aboveLOQ","black","Bonnemaisonia_hamifera","efteraar","Bonnemaisonia","hamifera","roedtotalge","Aarhus.efteraar.1","2017.sep.19",1000,56.1597,10.2301,"smpl02","Bonnemaisonia_hamifera.smpl02.efteraar.1",0,0,0,3,"'0/0/0/3'",5,"3aboveLOQ","AssID01","01","Bonnemaisonia_hamifera.Aarhus",1,"red","5_and_1","#C4D79B",10,"3AbLOQ_FB",0.918866666666667,918.866666666667,919.866666666667,2.96372488155489,7,4,"#3FFF3F","black"
"123","Bonnemaisonia_hamifera.efteraar","Esbjerg",0,5,5,"NoCt","white","Bonnemaisonia_hamifera","efteraar","Bonnemaisonia","hamifera","roedtotalge","Esbjerg.efteraar.1","2017.oct.17",200,55.4578,8.442,"smpl01","Bonnemaisonia_hamifera.smpl01.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID01","01","Bonnemaisonia_hamifera.Esbjerg",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"163","Bonnemaisonia_hamifera.efteraar","Fredericia",0,5,5,"NoCt","white","Bonnemaisonia_hamifera","efteraar","Bonnemaisonia","hamifera","roedtotalge","Fredericia.efteraar.1","2017.oct.11",1000,55.5579,9.7489,"smpl05","Bonnemaisonia_hamifera.smpl05.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID01","01","Bonnemaisonia_hamifera.Fredericia",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"203","Bonnemaisonia_hamifera.efteraar","Frederikshavn",0,5,5,"NoCt","white","Bonnemaisonia_hamifera","efteraar","Bonnemaisonia","hamifera","roedtotalge","Frederikshavn.efteraar.1","2017.oct.06",3000,57.4421,10.5622,"smpl06","Bonnemaisonia_hamifera.smpl06.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID01","01","Bonnemaisonia_hamifera.Frederikshavn",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"243","Bonnemaisonia_hamifera.efteraar","Gedser",0,5,5,"NoCt","white","Bonnemaisonia_hamifera","efteraar","Bonnemaisonia","hamifera","roedtotalge","Gedser.efteraar.1","2017.sep.23",1000,54.5719,11.9277,"smpl07","Bonnemaisonia_hamifera.smpl07.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID01","01","Bonnemaisonia_hamifera.Gedser",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"283","Bonnemaisonia_hamifera.efteraar","Grenaa",378.333333333333,5,5,"aboveLOQ","black","Bonnemaisonia_hamifera","efteraar","Bonnemaisonia","hamifera","roedtotalge","Grenaa.efteraar.1","2017.sep.19",1000,56.4126,10.9332,"smpl08","Bonnemaisonia_hamifera.smpl08.efteraar.1",0,0,0,3,"'0/0/0/3'",5,"3aboveLOQ","AssID01","01","Bonnemaisonia_hamifera.Grenaa",1,"red","5_and_1","#C4D79B",10,"3AbLOQ_FB",26.4833333333333,26483.3333333333,26484.3333333333,4.42298904529885,9,6,"#00BF00","black"
"323","Bonnemaisonia_hamifera.efteraar","Helsingoer",0,5,5,"NoCt","white","Bonnemaisonia_hamifera","efteraar","Bonnemaisonia","hamifera","roedtotalge","Helsingoer.efteraar.1","2017.sep.13",1000,56.0357,12.6176,"smpl09","Bonnemaisonia_hamifera.smpl09.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID01","01","Bonnemaisonia_hamifera.Helsingoer",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"363","Bonnemaisonia_hamifera.efteraar","Hirtshals",0,5,5,"NoCt","white","Bonnemaisonia_hamifera","efteraar","Bonnemaisonia","hamifera","roedtotalge","Hirtshals.efteraar.1","2017.nov.08",600,57.5975,9.9772,"smpl10","Bonnemaisonia_hamifera.smpl10.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID01","01","Bonnemaisonia_hamifera.Hirtshals",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"403","Bonnemaisonia_hamifera.efteraar","Kalundborg",0,5,5,"NoCt","white","Bonnemaisonia_hamifera","efteraar","Bonnemaisonia","hamifera","roedtotalge","Kalundborg.efteraar.1","2017.sep.22",1000,55.6773,11.073,"smpl11","Bonnemaisonia_hamifera.smpl11.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID01","01","Bonnemaisonia_hamifera.Kalundborg",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"443","Bonnemaisonia_hamifera.efteraar","KalundborgStatiolHavn",0,5,5,"NoCt","white","Bonnemaisonia_hamifera","efteraar","Bonnemaisonia","hamifera","roedtotalge","KalundborgStatiolHavn.efteraar.1","2017.sep.22",1000,55.6643,11.0736,"smpl15","Bonnemaisonia_hamifera.smpl15.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID01","01","Bonnemaisonia_hamifera.KalundborgStatiolHavn",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"483","Bonnemaisonia_hamifera.efteraar","Koebenhavn",0,5,5,"NoCt","white","Bonnemaisonia_hamifera","efteraar","Bonnemaisonia","hamifera","roedtotalge","Koebenhavn.efteraar.1","2017.sep.12",1650,55.6652,12.5702,"smpl12","Bonnemaisonia_hamifera.smpl12.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID01","01","Bonnemaisonia_hamifera.Koebenhavn",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"523","Bonnemaisonia_hamifera.efteraar","Koege",0,5,5,"NoCt","white","Bonnemaisonia_hamifera","efteraar","Bonnemaisonia","hamifera","roedtotalge","Koege.efteraar.1","2017.sep.12",450,55.4566,12.204,"smpl16","Bonnemaisonia_hamifera.smpl16.efteraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID01","01","Bonnemaisonia_hamifera.Koege",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"563","Bonnemaisonia_hamifera.efteraar","Odense",7.16666666666667,5,5,"aboveLOQ","black","Bonnemaisonia_hamifera","efteraar","Bonnemaisonia","hamifera","roedtotalge","Odense.efteraar.1","2017.sep.15",800,55.4101,10.378,"smpl13","Bonnemaisonia_hamifera.smpl13.efteraar.1",0,0,0,3,"'0/0/0/3'",5,"3aboveLOQ","AssID01","01","Bonnemaisonia_hamifera.Odense",1,"red","5_and_1","#C4D79B",10,"3AbLOQ_FB",0.627083333333333,627.083333333333,628.083333333333,2.79801726922416,7,4,"#3FFF3F","black"
"603","Bonnemaisonia_hamifera.efteraar","Roedby",2.43113333333333,5,5,"belowLOD","yellow","Bonnemaisonia_hamifera","efteraar","Bonnemaisonia","hamifera","roedtotalge","Roedby.efteraar.1","2017.sep.23",200,54.6541,11.3461,"smpl14","Bonnemaisonia_hamifera.smpl14.efteraar.1",0,2,0,1,"'0/2/0/1'",4,"1aboveLOQ","AssID01","01","Bonnemaisonia_hamifera.Roedby",1,"red","4_and_1","#C4D79B",9,"1AbLOQ_FB",0.850896666666667,850.896666666667,851.896666666667,2.93038691892386,2,0,"0","red"
"4","Bonnemaisonia_hamifera.foraar","AalborgHavn",0,5,5,"NoCt","white","Bonnemaisonia_hamifera","foraar","Bonnemaisonia","hamifera","roedtotalge","AalborgHavn.foraar.1","2017.jun.29",1000,57.0514,9.9319,"smpl04","Bonnemaisonia_hamifera.smpl04.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID01","01","Bonnemaisonia_hamifera.AalborgHavn",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"44","Bonnemaisonia_hamifera.foraar","Aalborgportland",0,5,5,"NoCt","white","Bonnemaisonia_hamifera","foraar","Bonnemaisonia","hamifera","roedtotalge","Aalborgportland.foraar.1","2017.jun.30",1000,57.0514,9.9319,"smpl03","Bonnemaisonia_hamifera.smpl03.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID01","01","Bonnemaisonia_hamifera.Aalborgportland",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"84","Bonnemaisonia_hamifera.foraar","Aarhus",0.455066666666667,5,5,"belowLOD","yellow","Bonnemaisonia_hamifera","foraar","Bonnemaisonia","hamifera","roedtotalge","Aarhus.foraar.1","2017.jul.05",2400,56.1597,10.2301,"smpl02","Bonnemaisonia_hamifera.smpl02.foraar.1",0,3,0,0,"'0/3/0/0'",2,"belowLOD","AssID01","01","Bonnemaisonia_hamifera.Aarhus",1,"red","2_and_1","#C4D79B",7,"BeLOD_FB",0.0132727777777778,13.2727777777778,14.2727777777778,1.1545085040299,2,0,"0","yellow"
"124","Bonnemaisonia_hamifera.foraar","Esbjerg",0,5,5,"NoCt","white","Bonnemaisonia_hamifera","foraar","Bonnemaisonia","hamifera","roedtotalge","Esbjerg.foraar.1","2017.jun.27",1000,55.4578,8.442,"smpl01","Bonnemaisonia_hamifera.smpl01.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID01","01","Bonnemaisonia_hamifera.Esbjerg",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"164","Bonnemaisonia_hamifera.foraar","Fredericia",0,5,5,"NoCt","white","Bonnemaisonia_hamifera","foraar","Bonnemaisonia","hamifera","roedtotalge","Fredericia.foraar.1","2017.jul.05",1600,55.5579,9.7489,"smpl05","Bonnemaisonia_hamifera.smpl05.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID01","01","Bonnemaisonia_hamifera.Fredericia",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
"204","Bonnemaisonia_hamifera.foraar","Frederikshavn",0,5,5,"NoCt","white","Bonnemaisonia_hamifera","foraar","Bonnemaisonia","hamifera","roedtotalge","Frederikshavn.foraar.1","2017.jun.28",1000,57.4421,10.5622,"smpl06","Bonnemaisonia_hamifera.smpl06.foraar.1",3,0,0,0,"'3/0/0/0'",1,"NoCt","AssID01","01","Bonnemaisonia_hamifera.Frederikshavn",1,"red","1_and_1","#C4D79B",6,"NoCt_FB",0,0,1,0,1,0,"0","white"
